Year,Week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2017,27,52.2,67.6,49.0,46.0,26.2,39.8,32.6,18.6,89.6,25.4,66.2,33.6,41.8,,,,25.4,27.6,,,,28.2,,45.2,70.6,,68.2,29.0,13.8,,39.6,46.2,9.0,53.8,30.6,42.2,,49.8,,81.7,,39.6,,35.6,33.5,8.6,,43.0,,16.4
2017,28,74.2,77.2,65.4,13.6,142.2,144.4,44.8,77.0,54.6,119.0,25.0,158.8,75.4,94.8,,117.2,82.4,62.8,107.8,,87.2,77.4,,47.4,93.4,,63.2,148.2,101.2,,115.6,72.4,116.4,,112.6,,,91.8,,100.1,89.2,,50.0,75.4,79.3,64.8,,,94.0,90.8
2017,29,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,30,6.4,0.0,5.0,6.0,1.8,9.2,2.4,19.2,0.0,11.8,0.6,9.8,1.8,4.2,,,2.0,6.6,13.2,7.0,0.4,10.2,,4.6,6.6,13.0,0.0,10.0,6.0,,4.0,0.4,,0.0,0.2,2.6,5.0,0.0,9.8,1.2,,10.6,3.8,8.0,9.7,2.8,0.6,10.8,2.2,2.8
2017,31,2.6,4.4,5.0,2.8,3.9,1.8,1.6,8.2,,19.4,2.0,9.8,0.0,14.0,,,3.0,5.2,23.6,36.0,3.8,14.5,,1.2,13.0,19.2,15.0,11.4,25.8,7.8,14.4,0.0,,0.0,4.4,0.2,26.0,6.6,0.6,16.3,2.6,10.6,,6.5,6.1,1.8,1.6,25.4,8.2,0.0
2017,32,10.0,89.8,6.0,7.8,13.4,71.0,21.4,70.4,,43.0,83.0,72.8,25.2,28.2,50.6,59.8,7.6,97.8,26.0,91.5,61.8,101.7,,11.6,40.2,,121.2,63.0,,12.4,35.0,60.8,71.2,41.8,19.8,13.3,53.6,53.6,10.6,57.4,,59.6,70.0,,95.3,36.8,,44.8,32.8,56.2
2017,33,89.0,139.8,69.4,68.8,99.1,52.6,48.6,47.6,,35.0,63.0,32.6,76.0,31.2,71.9,40.0,60.8,49.6,85.2,28.5,82.8,30.0,,51.6,69.0,31.6,97.6,30.6,62.4,80.4,39.4,87.6,49.4,,90.8,84.0,31.8,77.4,67.2,76.5,30.4,,71.6,,74.5,49.4,52.2,36.2,70.2,28.4
2017,34,3.8,0.0,11.0,1.0,6.7,1.2,8.2,0.2,,31.6,0.2,22.8,2.2,26.4,25.3,4.6,6.0,18.8,25.0,7.4,26.4,5.4,,30.4,4.2,8.8,21.4,25.0,3.0,,11.8,16.6,4.6,,2.6,4.5,28.6,20.6,18.0,37.4,14.2,1.6,,,,5.2,0.4,27.6,5.4,7.8
2017,35,4.8,1.2,11.4,3.0,1.8,0.6,4.4,3.6,0.8,6.2,4.8,2.6,5.2,10.0,3.2,0.4,9.8,7.0,9.0,1.6,2.4,1.0,,0.6,1.6,1.6,0.6,2.6,2.2,,2.4,0.4,1.0,,1.6,4.0,10.2,5.2,0.6,0.5,20.6,1.8,,6.2,8.2,0.8,0.0,1.2,14.0,32.0
2017,36,37.2,129.0,46.4,50.4,19.1,19.2,37.4,84.2,138.4,20.2,41.8,20.4,58.4,29.0,26.0,18.2,30.6,104.4,9.6,51.6,63.4,68.0,,60.6,106.8,,90.8,23.6,30.2,28.4,19.0,38.2,21.8,42.8,27.8,82.4,17.6,70.4,47.8,105.8,30.0,38.2,65.2,76.0,93.7,16.0,101.4,26.0,43.6,81.6
